gene_id	gene_id_clean	log2FC	padj	lasso_coef	rf_importance	direction
ENSG00000279473.1	ENSG00000279473	11.574029361917852	0.0	0.9170107299945662	0.06375070336202054	Up
ENSG00000234743.1	ENSG00000234743	8.586993065846471	1.265763303075922e-128	0.0337878495183484	0.06289570296464081	Up
ENSG00000062038.13	ENSG00000062038	7.374644438185936	2.7134772532731403e-264	0.5245498724384139	0.043617502263907676	Up
ENSG00000240854.1	ENSG00000240854	7.346581271497431	5.456936029517579e-203	0.4817064506561896	0.023364126732069442	Up
ENSG00000229237.2	ENSG00000229237	10.767731173526125	3.536252607862716e-221	0.5286600620923627	0.02319594739708146	Up
ENSG00000163347.5	ENSG00000163347	6.05229815577854	5.602986952098885e-233	0.03750814163300312	0.019246122316899848	Up
ENSG00000167767.13	ENSG00000167767	6.908250989553869	1.1307226878968e-246	0.25327892322309165	0.012975246797435887	Up
ENSG00000235734.4	ENSG00000235734	9.826664343176503	1.3523698408727826e-183	0.30410268477211305	0.012802306549791498	Up
ENSG00000147576.15	ENSG00000147576	-5.3635152577232414	5.1041621080417027e-172	-0.17118416665977748	0.009931259927673314	Down
ENSG00000170373.8	ENSG00000170373	12.677326172063433	2.884920384910557e-230	0.11337429948500975	0.006409403017070223	Up
ENSG00000100146.16	ENSG00000100146	-8.90001510463207	2.7496597009374646e-125	-0.1887288380707096	0.006401658435969839	Down
ENSG00000175832.12	ENSG00000175832	6.425234360482462	4.3746812274996755e-246	0.14006603058959757	0.006358953127715757	Up
