gene_id	gene_id_clean	log2FC	padj	lasso_coef	rf_importance	direction
ENSG00000240854.1	ENSG00000240854	7.276978990200821	7.703972528432398e-103	0.48875725457980507	0.056504260214150635	Up
ENSG00000219928.2	ENSG00000219928	13.396400659414756	2.4530279290206547e-71	0.08051057442300877	0.04068449024339116	Up
ENSG00000229237.2	ENSG00000229237	10.895550153144692	1.726341185638176e-123	0.740539227834622	0.04060113743620386	Up
ENSG00000224126.2	ENSG00000224126	9.183939941240196	2.666674369266355e-66	0.006621047273350278	0.039169173794315205	Up
ENSG00000062038.13	ENSG00000062038	7.624438867723802	9.047583048544836e-128	0.43951140454219517	0.030659494157904834	Up
ENSG00000279473.1	ENSG00000279473	11.590522569392324	1.4055198155327827e-306	0.5749036987925742	0.026998224307031946	Up
ENSG00000238249.2	ENSG00000238249	7.883130753415926	6.813897056562874e-222	0.5905117479051912	0.02220451085184846	Up
ENSG00000167767.13	ENSG00000167767	7.0420314651559845	2.7673989694330276e-148	0.3069040377256322	0.02007196547871029	Up
ENSG00000235734.4	ENSG00000235734	9.519479268990242	6.533285907452686e-87	0.5289524168010805	0.016110666108162988	Up
ENSG00000170373.8	ENSG00000170373	12.6283572663924	9.964641832273749e-140	0.13117245605618635	0.00966090264411828	Up
ENSG00000163347.5	ENSG00000163347	5.96199144360162	4.240923070603063e-128	0.144012530553405	0.0068795137271164064	Up
ENSG00000164283.12	ENSG00000164283	6.798137398609879	7.948067731800533e-72	0.036759709428041444	0.006610283852927454	Up
ENSG00000244538.1	ENSG00000244538	9.762420399863426	6.035517884731034e-90	0.09249400714828185	0.006415819659675242	Up
ENSG00000167549.18	ENSG00000167549	-5.6152572150725515	1.063317652573038e-76	-0.07128936357853415	0.006126943131369258	Down
