gene_id	lasso_coef	abs_coef
ENSG00000229237.2	0.740539227834622	0.740539227834622
ENSG00000238249.2	0.5905117479051912	0.5905117479051912
ENSG00000279473.1	0.5749036987925742	0.5749036987925742
ENSG00000235734.4	0.5289524168010805	0.5289524168010805
ENSG00000240854.1	0.48875725457980507	0.48875725457980507
ENSG00000062038.13	0.43951140454219517	0.43951140454219517
ENSG00000213235.3	0.32881709605207765	0.32881709605207765
ENSG00000167767.13	0.3069040377256322	0.3069040377256322
ENSG00000143536.7	-0.19757280119980913	0.19757280119980913
ENSG00000233532.5	0.19631503302713033	0.19631503302713033
ENSG00000225558.1	0.18406263150267446	0.18406263150267446
ENSG00000163347.5	0.144012530553405	0.144012530553405
ENSG00000170373.8	0.13117245605618635	0.13117245605618635
ENSG00000228742.9	0.1138328738397108	0.1138328738397108
ENSG00000153902.13	-0.11011493426607684	0.11011493426607684
ENSG00000244538.1	0.09249400714828185	0.09249400714828185
ENSG00000077009.13	-0.08616812938259967	0.08616812938259967
ENSG00000219928.2	0.08051057442300877	0.08051057442300877
ENSG00000167549.18	-0.07128936357853415	0.07128936357853415
ENSG00000251026.1	0.06955760335286917	0.06955760335286917
ENSG00000167916.4	-0.055062192233371374	0.055062192233371374
ENSG00000112077.15	-0.053694466287129594	0.053694466287129594
ENSG00000215199.3	0.05303102588630363	0.05303102588630363
ENSG00000228053.1	0.04508546254918101	0.04508546254918101
ENSG00000164283.12	0.036759709428041444	0.036759709428041444
ENSG00000187922.13	-0.032523289162842195	0.032523289162842195
ENSG00000268297.1	-0.028776574083226147	0.028776574083226147
ENSG00000122641.9	0.027544205923850967	0.027544205923850967
ENSG00000247381.2	0.026344421951238702	0.026344421951238702
ENSG00000236452.1	0.00886531399015678	0.00886531399015678
ENSG00000224126.2	0.006621047273350278	0.006621047273350278
ENSG00000235688.2	-0.0030526659134616687	0.0030526659134616687
