gene_id	lasso_coef	abs_coef
ENSG00000122641.9	0.5475916117562971	0.5475916117562971
ENSG00000142959.4	-0.5465242145715944	0.5465242145715944
ENSG00000175832.12	0.46593186736085723	0.46593186736085723
ENSG00000163815.5	-0.4317261332819944	0.4317261332819944
ENSG00000105464.3	0.42158527290805553	0.42158527290805553
ENSG00000197953.5	-0.2746760855222527	0.2746760855222527
ENSG00000245694.8	0.27272065770053544	0.27272065770053544
ENSG00000163347.5	0.2452612420185844	0.2452612420185844
ENSG00000164379.5	0.19706567362540156	0.19706567362540156
ENSG00000159263.15	0.15271780143126443	0.15271780143126443
ENSG00000182938.4	-0.129162997627393	0.129162997627393
ENSG00000251026.1	0.126840569202191	0.126840569202191
ENSG00000114656.10	0.123437302601591	0.123437302601591
ENSG00000101255.10	0.10188799827018519	0.10188799827018519
ENSG00000184544.11	-0.059520907156504294	0.059520907156504294
ENSG00000139433.9	-0.04950771986594978	0.04950771986594978
ENSG00000070748.17	-0.03552878111602488	0.03552878111602488
ENSG00000034971.14	-0.02913901031212575	0.02913901031212575
