gene_id	lasso_coef	abs_coef
ENSG00000279473.1	0.8882737766109824	0.8882737766109824
ENSG00000238249.2	0.7558252162672099	0.7558252162672099
ENSG00000062038.13	0.5176786700262775	0.5176786700262775
ENSG00000229237.2	0.4375846463895844	0.4375846463895844
ENSG00000240854.1	0.37330264636161453	0.37330264636161453
ENSG00000235734.4	0.2989605099702884	0.2989605099702884
ENSG00000167767.13	0.24465104608175486	0.24465104608175486
ENSG00000251026.1	0.23511585330857696	0.23511585330857696
ENSG00000213235.3	0.2267198422144632	0.2267198422144632
ENSG00000163347.5	0.19627905668636528	0.19627905668636528
ENSG00000170373.8	0.18011614627632114	0.18011614627632114
ENSG00000143536.7	-0.1702760963613838	0.1702760963613838
ENSG00000231172.2	0.1617837083772287	0.1617837083772287
ENSG00000077009.13	-0.14542836770917417	0.14542836770917417
ENSG00000105464.3	0.14163286537863642	0.14163286537863642
ENSG00000100146.16	-0.1168328703747635	0.1168328703747635
ENSG00000167549.18	-0.11118967549433478	0.11118967549433478
ENSG00000215199.3	0.08400234918971314	0.08400234918971314
ENSG00000244538.1	0.08078252424508063	0.08078252424508063
ENSG00000228742.9	0.07830897338004422	0.07830897338004422
ENSG00000153902.13	-0.07458338898878718	0.07458338898878718
ENSG00000268297.1	-0.07403832802844937	0.07403832802844937
ENSG00000233532.5	0.06738654216476386	0.06738654216476386
ENSG00000112077.15	-0.06545071694323225	0.06545071694323225
ENSG00000232679.1	0.06432750790736518	0.06432750790736518
ENSG00000225558.1	0.05050315537738538	0.05050315537738538
ENSG00000260668.1	0.044124124309571855	0.044124124309571855
ENSG00000123500.9	0.03978351769586663	0.03978351769586663
ENSG00000175832.12	0.03881687008707188	0.03881687008707188
ENSG00000162461.7	-0.037537189197696115	0.037537189197696115
ENSG00000236768.1	0.035631709423628075	0.035631709423628075
ENSG00000268222.1	0.027916302513927852	0.027916302513927852
ENSG00000156885.5	-0.022236255301172295	0.022236255301172295
ENSG00000249264.1	0.018088978482486535	0.018088978482486535
ENSG00000272328.1	0.016981601746840408	0.016981601746840408
ENSG00000253230.6	-0.011077096867048573	0.011077096867048573
ENSG00000236452.1	0.009568424770666441	0.009568424770666441
ENSG00000229970.3	0.005335763441421786	0.005335763441421786
ENSG00000214039.8	0.004878115061165696	0.004878115061165696
ENSG00000235688.2	-0.0015391149666959397	0.0015391149666959397
